Model,Actual,Predicted,Mean Absolute Error,Average MAE
Simple,27.5,31.09633992506724,3.596339925067241,1.9344014081947858
Simple,32.5,32.69040141671064,0.19040141671064248,1.9344014081947858
Simple,22.2,22.90682804082803,0.7068280408280323,1.9344014081947858
Simple,52.6,49.40098691205924,3.199013087940763,1.9344014081947858
Simple,26.3,26.762729008146607,0.46272900814660645,1.9344014081947858
Simple,44.6,47.371450347865334,2.7714503478653327,1.9344014081947858
Simple,19.7,20.165210754823306,0.46521075482330687,1.9344014081947858
Simple,42.3,38.96583635677689,3.334163643223107,1.9344014081947858
Simple,27.4,32.269613954041006,4.869613954041007,1.9344014081947858
Simple,20.6,21.10932122234192,0.5093212223419172,1.9344014081947858
Simple,19.3,19.498715530433856,0.19871553043385504,1.9344014081947858
Simple,46.5,51.039704518824465,4.539704518824465,1.9344014081947858
Simple,19.8,18.70747723125578,1.092522768744221,1.9344014081947858
Simple,38.0,39.145605495736504,1.145605495736504,1.9344014081947858
Ridge,28.4,34.107605567746646,5.707605567746647,3.498179440392719
Ridge,48.0,49.834243279612,1.8342432796119965,3.498179440392719
Ridge,34.2,35.05911678955431,0.8591167895543066,3.498179440392719
Ridge,28.3,33.365577590582575,5.065577590582574,3.498179440392719
Ridge,37.5,37.87293264431321,0.3729326443132095,3.498179440392719
Ridge,49.5,50.25156189805455,0.7515618980545469,3.498179440392719
Ridge,22.8,25.723939507038153,2.9239395070381526,3.498179440392719
Ridge,30.0,36.00703737962499,6.00703737962499,3.498179440392719
Ridge,23.0,25.784126736581584,2.784126736581584,3.498179440392719
Ridge,25.8,31.030893360106234,5.230893360106233,3.498179440392719
Ridge,27.5,30.009708923591234,2.5097089235912335,3.498179440392719
Ridge,44.6,46.57907676536638,1.9790767653663792,3.498179440392719
Ridge,49.0,36.88706030358003,12.112939696419971,3.498179440392719
Ridge,27.1,27.935752026906243,0.835752026906242,3.498179440392719
LASSO,27.5,31.042148621575336,3.542148621575336,1.7790951163317847
LASSO,32.5,33.53261000984179,1.0326100098417896,1.7790951163317847
LASSO,22.2,23.257236969287078,1.0572369692870787,1.7790951163317847
LASSO,52.6,48.90585919430606,3.694140805693941,1.7790951163317847
LASSO,26.3,27.210990717440552,0.9109907174405514,1.7790951163317847
LASSO,44.6,44.0489557167387,0.5510442832612981,1.7790951163317847
LASSO,19.7,19.433980971577796,0.26601902842220326,1.7790951163317847
LASSO,42.3,36.61804288912566,5.681957110874336,1.7790951163317847
LASSO,27.4,28.80213876857573,1.4021387685757318,1.7790951163317847
LASSO,20.6,21.617471332150615,1.0174713321506133,1.7790951163317847
LASSO,19.3,19.956232391230685,0.6562323912306844,1.7790951163317847
LASSO,46.5,50.070143461461726,3.5701434614617256,1.7790951163317847
LASSO,19.8,20.83268761497817,1.032687614978169,1.7790951163317847
LASSO,38.0,38.49251051385153,0.4925105138515278,1.7790951163317847
ElasticNet 0.25,28.4,32.8151448183479,4.415144818347905,3.106564434158333
ElasticNet 0.25,48.0,48.98087232595549,0.9808723259554881,3.106564434158333
ElasticNet 0.25,34.2,33.6450972009568,0.5549027990432052,3.106564434158333
ElasticNet 0.25,28.3,32.80917531964508,4.5091753196450775,3.106564434158333
ElasticNet 0.25,37.5,38.053788048809224,0.5537880488092242,3.106564434158333
ElasticNet 0.25,49.5,49.842132803969434,0.34213280396943446,3.106564434158333
ElasticNet 0.25,22.8,24.83538428718964,2.0353842871896397,3.106564434158333
ElasticNet 0.25,30.0,35.35845916636504,5.358459166365037,3.106564434158333
ElasticNet 0.25,23.0,24.76418928739463,1.764189287394629,3.106564434158333
ElasticNet 0.25,25.8,31.588228184604873,5.788228184604872,3.106564434158333
ElasticNet 0.25,27.5,30.57367312680651,3.0736731268065114,3.106564434158333
ElasticNet 0.25,44.6,46.62078675727332,2.0207867572733207,3.106564434158333
ElasticNet 0.25,49.0,37.266747070279166,11.733252929720834,3.106564434158333
ElasticNet 0.25,27.1,26.738087776908515,0.36191222309148685,3.106564434158333
ElasticNet 0.5,28.4,32.117260940521874,3.717260940521875,2.9617075508481743
ElasticNet 0.5,48.0,48.346809269123355,0.3468092691233551,2.9617075508481743
ElasticNet 0.5,34.2,33.032899735991805,1.167100264008198,2.9617075508481743
ElasticNet 0.5,28.3,32.533443868220616,4.233443868220615,2.9617075508481743
ElasticNet 0.5,37.5,37.96819605743872,0.4681960574387176,2.9617075508481743
ElasticNet 0.5,49.5,49.50705678717793,0.007056787177930346,2.9617075508481743
ElasticNet 0.5,22.8,24.110208405089224,1.3102084050892238,2.9617075508481743
ElasticNet 0.5,30.0,35.06293171069126,5.0629317106912595,2.9617075508481743
ElasticNet 0.5,23.0,24.395436336537614,1.395436336537614,2.9617075508481743
ElasticNet 0.5,25.8,31.914047822968087,6.114047822968086,2.9617075508481743
ElasticNet 0.5,27.5,30.95405160881512,3.4540516088151207,2.9617075508481743
ElasticNet 0.5,44.6,46.411591135135154,1.8115911351351528,2.9617075508481743
ElasticNet 0.5,49.0,37.47985398035212,11.520146019647882,2.9617075508481743
ElasticNet 0.5,27.1,26.24437451350059,0.8556254864994131,2.9617075508481743
ElasticNet 0.75,27.5,31.006464185069774,3.506464185069774,1.6939617138339076
ElasticNet 0.75,32.5,33.24895774563055,0.7489577456305483,1.6939617138339076
ElasticNet 0.75,22.2,23.162283646655,0.9622836466549991,1.6939617138339076
ElasticNet 0.75,52.6,49.092329282948015,3.5076707170519867,1.6939617138339076
ElasticNet 0.75,26.3,26.948140381835003,0.6481403818350024,1.6939617138339076
