Model,Predicted Value,Average Annual Percent Change
Simple,50.77225951932428,1.0291690230770594
Simple,51.498636719380784,1.0291690230770594
Simple,52.010973329235526,1.0291690230770594
Simple,52.56370252327383,1.0291690230770594
Simple,53.07978033856023,1.0291690230770594
Simple,53.590175371577175,1.0291690230770594
Simple,54.15024998758008,1.0291690230770594
Simple,54.660341900953085,1.0291690230770594
Simple,55.170572133170594,1.0291690230770594
Simple,55.77948927889008,1.0291690230770594
Simple,56.2457107643703,1.0291690230770594
Ridge,50.46219439380599,1.4993591527226133
Ridge,51.86082636846231,1.4993591527226133
Ridge,52.55100056964699,1.4993591527226133
Ridge,53.40325075181221,1.4993591527226133
Ridge,54.092844843568,1.4993591527226133
Ridge,54.78248486018305,1.4993591527226133
Ridge,55.63441200493503,1.4993591527226133
Ridge,56.32364406342958,1.4993591527226133
Ridge,57.01295143390166,1.4993591527226133
Ridge,58.02683318490949,1.4993591527226133
Ridge,58.55314713485677,1.4993591527226133
LASSO,50.46219439380599,1.4993591527226133
LASSO,51.86082636846231,1.4993591527226133
LASSO,52.55100056964699,1.4993591527226133
LASSO,53.40325075181221,1.4993591527226133
LASSO,54.092844843568,1.4993591527226133
LASSO,54.78248486018305,1.4993591527226133
LASSO,55.63441200493503,1.4993591527226133
LASSO,56.32364406342958,1.4993591527226133
LASSO,57.01295143390166,1.4993591527226133
LASSO,58.02683318490949,1.4993591527226133
LASSO,58.55314713485677,1.4993591527226133
ElasticNet 0.25,50.595064979004064,1.1382846837448624
ElasticNet 0.25,51.40256301884756,1.1382846837448624
ElasticNet 0.25,51.968304901903025,1.1382846837448624
ElasticNet 0.25,52.58443867179324,1.1382846837448624
ElasticNet 0.25,53.152355847572835,1.1382846837448624
ElasticNet 0.25,53.717137427988064,1.1382846837448624
ElasticNet 0.25,54.337968354519035,1.1382846837448624
ElasticNet 0.25,54.90285682379988,1.1382846837448624
ElasticNet 0.25,55.46820103490472,1.1382846837448624
ElasticNet 0.25,56.14458289364086,1.1382846837448624
ElasticNet 0.25,56.657526754500054,1.1382846837448624
ElasticNet 0.5,50.34323160807071,1.1968047831983433
ElasticNet 0.5,51.24438821678302,1.1968047831983433
ElasticNet 0.5,51.8268887947728,1.1968047831983433
ElasticNet 0.5,52.479836681249935,1.1968047831983433
ElasticNet 0.5,53.0631183934961,1.1968047831983433
ElasticNet 0.5,53.64488582534011,1.1968047831983433
ElasticNet 0.5,54.30006689888285,1.1968047831983433
ElasticNet 0.5,54.88174061568748,1.1968047831983433
ElasticNet 0.5,55.46378638864246,1.1968047831983433
ElasticNet 0.5,56.19177582382531,1.1968047831983433
ElasticNet 0.5,56.70199405461506,1.1968047831983433
ElasticNet 0.75,50.603060371266054,1.3565091119009087
ElasticNet 0.75,51.78687924233503,1.3565091119009087
ElasticNet 0.75,52.425017763169706,1.3565091119009087
ElasticNet 0.75,53.1856290796606,1.3565091119009087
ElasticNet 0.75,53.824391413458045,1.3565091119009087
ElasticNet 0.75,54.4616464406958,1.3565091119009087
ElasticNet 0.75,55.22401894094804,1.3565091119009087
ElasticNet 0.75,55.86096455550472,1.3565091119009087
ElasticNet 0.75,56.4979793205992,1.3565091119009087
ElasticNet 0.75,57.38515383391308,1.3565091119009087
ElasticNet 0.75,57.89804144788803,1.3565091119009087
