Model,Average Mean Absolute Error
Simple,2.9696016758137747
Ridge,3.02338097155375
LASSO,2.5233331759136894
ElasticNet 0.25,2.762626160281168
ElasticNet 0.5,3.22319551688314
ElasticNet 0.75,2.954140254257916
