Model,Predicted Value,Average Annual Percent Change
Simple,51.08214377829768,1.0120029906427221
Simple,51.772890214613085,1.0120029906427221
Simple,52.286042063260425,1.0120029906427221
Simple,52.829027160015926,1.0120029906427221
Simple,53.34638633265536,1.0120029906427221
Simple,53.85671526669614,1.0120029906427221
Simple,54.40849698718182,1.0120029906427221
Simple,54.91763964510028,1.0120029906427221
Simple,55.427106116419964,1.0120029906427221
Simple,56.01842122770631,1.0120029906427221
Simple,56.49310618855577,1.0120029906427221
Ridge,51.08214377829768,1.0120029906427221
Ridge,51.772890214613085,1.0120029906427221
Ridge,52.286042063260425,1.0120029906427221
Ridge,52.829027160015926,1.0120029906427221
Ridge,53.34638633265536,1.0120029906427221
Ridge,53.85671526669614,1.0120029906427221
Ridge,54.40849698718182,1.0120029906427221
Ridge,54.91763964510028,1.0120029906427221
Ridge,55.427106116419964,1.0120029906427221
Ridge,56.01842122770631,1.0120029906427221
Ridge,56.49310618855577,1.0120029906427221
LASSO,51.31931775454649,1.6026158447216217
LASSO,52.880529264596646,1.6026158447216217
LASSO,53.62707679993281,1.6026158447216217
LASSO,54.560122976157515,1.6026158447216217
LASSO,55.30620479164577,1.6026158447216217
LASSO,56.052298236004106,1.6026158447216217
LASSO,56.985049594981376,1.6026158447216217
LASSO,57.73082804173265,1.6026158447216217
LASSO,58.476687161831535,1.6026158447216217
LASSO,59.59583179504392,1.6026158447216217
LASSO,60.154425405640836,1.6026158447216217
ElasticNet 0.25,51.201397751162176,1.1718195504317714
ElasticNet 0.25,52.118468834748114,1.1718195504317714
ElasticNet 0.25,52.695097119049706,1.1718195504317714
ElasticNet 0.25,53.341683162129925,1.1718195504317714
ElasticNet 0.25,53.92129658049498,1.1718195504317714
ElasticNet 0.25,54.49575355974707,1.1718195504317714
ElasticNet 0.25,55.148749403870966,1.1718195504317714
ElasticNet 0.25,55.72228613647951,1.1718195504317714
ElasticNet 0.25,56.296079326326435,1.1718195504317714
ElasticNet 0.25,57.02622369920073,1.1718195504317714
ElasticNet 0.25,57.52621181970949,1.1718195504317714
ElasticNet 0.5,51.3073384764931,1.3109114940713285
ElasticNet 0.5,52.42495398198571,1.3109114940713285
ElasticNet 0.5,53.05773517114426,1.3109114940713285
ElasticNet 0.5,53.79604642902302,1.3109114940713285
ElasticNet 0.5,54.43073551286113,1.3109114940713285
ElasticNet 0.5,55.061923780812094,1.3109114940713285
ElasticNet 0.5,55.80453514290127,1.3109114940713285
ElasticNet 0.5,56.435043863338365,1.3109114940713285
ElasticNet 0.5,57.06574736164691,1.3109114940713285
ElasticNet 0.5,57.91886338156041,1.3109114940713285
ElasticNet 0.5,58.441168386557365,1.3109114940713285
ElasticNet 0.75,51.33181229985132,1.4332635305511057
ElasticNet 0.75,52.63294384759831,1.4332635305511057
ElasticNet 0.75,53.31364954289347,1.4332635305511057
ElasticNet 0.75,54.133506130517276,1.4332635305511057
ElasticNet 0.75,54.81500411155628,1.4332635305511057
ElasticNet 0.75,55.49466883795958,1.4332635305511057
ElasticNet 0.75,56.31661022391029,1.4332635305511057
ElasticNet 0.75,56.99581751508231,1.4332635305511057
ElasticNet 0.75,57.67512819420733,1.4332635305511057
ElasticNet 0.75,58.63884387221594,1.4332635305511057
ElasticNet 0.75,59.177130362415596,1.4332635305511057
