Model,Average MAE
ElasticNet 0.25,2.481107731150582
ElasticNet 0.5,2.397994669632083
ElasticNet 0.75,2.3891733657930594
LASSO,2.3712055209683007
Ridge,2.6620986458456533
Simple,2.6621783039911198
